iteration,keygen_ms,enc_ms,dec_ms
1,1.234100,0.566500,0.222500
2,0.722600,1.242400,0.592300
3,1.927800,1.118900,0.559600
4,3.565300,1.642600,0.321000
5,1.409900,0.656900,0.237700
6,1.254300,0.961200,0.322200
7,1.264100,0.686700,0.309400
8,1.171300,0.634000,0.237700
9,0.788300,1.058100,0.264800
10,1.248800,0.658600,0.321300
11,0.855700,0.444800,0.209600
12,0.695600,0.496700,0.221400
13,0.787400,0.578900,0.253700
14,0.888400,0.617900,0.284400
15,0.869600,0.573900,0.279100
16,0.908400,0.585400,0.372900
17,2.474400,1.006500,0.358100
18,1.262600,0.630200,0.344400
19,1.139900,1.256200,0.317000
20,1.594600,0.920400,0.288900
21,1.273800,0.948100,0.487000
22,1.195700,0.703400,0.339700
23,1.390800,0.975400,0.345400
24,1.248600,0.770300,0.322400
25,0.590600,0.360500,0.248500
26,0.818700,1.049100,0.162100
27,0.490200,0.305800,0.144900
28,0.448500,0.289000,0.132200
29,0.414900,0.261500,0.123600
30,0.382400,0.293700,0.118700
31,0.485400,0.264200,0.108000
32,0.394900,0.403700,0.162000
33,0.476400,0.211200,0.097800
34,0.307100,0.201700,0.095500
35,0.310600,0.204800,0.097100
36,0.301900,0.202400,0.100000
37,0.309200,0.204600,0.097600
38,0.302900,0.253200,0.097000
39,0.337400,0.204200,0.096600
40,0.330600,0.252500,0.095200
41,0.317700,0.391900,0.193000
42,1.366700,0.213800,0.096800
43,0.308800,0.201900,0.095400
44,0.308600,0.202200,0.097900
45,0.315700,0.202300,0.102100
46,0.310300,0.202100,0.096100
47,0.305200,0.208600,0.097300
48,0.304700,0.201400,0.096900
49,0.310700,0.221500,0.096800
50,0.312000,0.215000,0.101300
51,0.307400,0.203000,0.095500
52,0.338500,0.228700,0.103000
53,0.303000,0.202500,0.098600
54,0.310000,0.203300,0.097100
55,0.302900,0.207600,0.097700
56,0.304700,0.202800,0.096200
57,0.309200,0.202200,0.096400
58,0.302700,0.202400,0.099600
59,0.307500,0.202500,0.096300
60,0.301400,0.206100,0.115300
61,0.311800,0.202000,0.095700
62,0.588000,0.281600,0.100800
63,0.330900,0.210800,0.099000
64,0.349000,0.230600,0.098300
65,0.335100,0.210100,0.098100
66,0.319100,0.214200,0.100500
67,0.311400,0.217200,0.098600
68,0.302200,0.201500,0.095300
69,0.331800,0.221800,0.097100
70,0.308200,0.207200,0.096100
71,0.307600,0.207700,0.097000
72,0.335200,0.208900,0.096600
73,0.315400,0.231100,0.097300
74,0.332400,0.204200,0.098800
75,0.310000,0.202700,0.095300
76,0.320400,0.217500,0.094600
77,0.305500,0.203100,0.096400
78,0.302500,0.218400,0.098100
79,0.322900,0.216200,0.101800
80,0.343600,0.231400,0.111100
81,0.402700,0.243300,0.118100
82,0.392200,0.272100,0.123300
83,0.459000,0.276300,0.127800
84,0.407900,0.275200,0.121800
85,0.398400,0.257300,0.137600
86,0.410400,0.255900,0.114300
87,0.426200,0.252400,0.109900
88,0.426100,0.237400,0.102400
89,0.362700,0.232900,0.100100
90,0.364200,0.230100,0.097400
91,0.374600,0.242000,0.100700
92,0.354800,0.209300,0.103100
93,0.370400,0.205500,0.097000
94,0.303400,0.202600,0.096300
95,0.305400,0.202700,0.096300
96,0.346500,0.213300,0.095600
97,0.302200,0.204100,0.097100
98,0.300900,0.202600,0.102700
99,0.304500,0.202400,0.096100
100,0.301400,0.201800,0.096000
